㐀	⿱⿰↔⺊⺊一
㖮	⿰口⿱⿵冂⿻一⿰丨丨
㖯	⿱⿵冂⿱一口⿰口匕
㖰	⿱⿰口匕⿵冂⿱一口
㖱	⿱⿱亠⿰亻⿴夂丶口
㖲	⿱⿰女口⿰口匕
㖳	⿱⿰氵女⿰口匕
㖴	⿰口⿱艹勿
㖵	⿰口⿱八
㖶	⿰口⿱⿱一⿻口⿰丨丨土
㖷	⿰口⿱日⿱一⿺人⺊
㖸	⿰口⿸虍⿻匚一
㖹	⿰口⿱分皿
㖺	⿰口⿱⿻三人日
㖻	⿰口⿱⿹⿱⿱乛丶⿱乛亅㇒木
㖼	⿰口⿱⿴⿱⿻一⿰丨丨一一木
㖽	⿰口頁
㖾	⿱吅⿱䒑⿻凵丿
㖿	⿰口⿰耳阝
㗀	⿰口⿻山⿰幺幺
㗁	⿰口⿱吅⿱一⿱一㇉
㗂	⿰口⿱少目
㗃	⿰口⿱民日
㗄	⿰口⿱罒方
㗅	⿰口⿰古月
㗆	⿰口革
㗇	⿰口⿰⿱又
㗈	⿰口⿱⿱⿱乛丶⿵⺆⿻二丨力
㗉	⿱⿰⿻三丨刀⿱夂口
㗊	⿱吅吅
㗋	⿰口⿸⿱⺈厂矢
㗌	⿰口⿱宀⿱⿱一厶土
㗍	⿰口⿱禾日
㗎	⿰口⿱⿰力口木
㗏	⿰口⿱不正
㗐	⿰口⿱⿵大丶皿
㗑	⿰口⿰⿱㇒⿻二丿⿱一⿻三丨
㗒	⿰口⿳亠口𧘇
㗓	⿰口⿺辶⿱㇒⿰丨⿱
㗔	⿰口⿸虍文
㗕	⿰口⿱⿱⿻⿱一一⿰丨丨一⿻冂土
㗖	⿰口⿱爫臼
㗗	⿰⿱口力⿱⿱㇒⿻日丿十
㗘	⿰口⿱⿺⿻十⺝丶寸
㗙	⿰口⿱⿹勹⿻凵丿⿹勹⿻凵丿
㗚	⿰口⿱⿱一⿻口⿰丨丨木
㗛	⿰口⿱𥫗⿱㇒大
㗜	⿰口⿱⿱亠幺田
㗝	⿰口⿱⿱䒑土灬
㗞	⿰口⿰石皮
㗟	⿱⿰氵⿱丶王⿰口匕
㗠	⿱⿰女⿱厶口⿰口匕
㗡	⿱⿱艹⿰亻⿹𠄎丿⿰口匕
㗢	⿰口⿰⿳㇒車一力
㗣	⿰口⿳⿻⿱⿻一⿰丨丨一儿冖巾
㗤	⿱⿵⿰丿戈⿱⿱⺊一小口
㗥	⿰口⿰⿳亠口子阝
㗦	⿰口⿰耳⿰⿰丿卩
㗧	⿰口⿱穴⿱⿱一厶土
㗨	⿱⿰⿷匚矢殳口
㗩	⿰口⿱羽白
㗪	⿰口⿱⿰止匕糸
㗫	⿰口⿱示
㗬	⿱⿱⿱⺌冖口多
㗭	⿰口⿱⿱㇒米心
㗮	⿰⿱夕口⿸广⿻人
㗯	⿱⿱⿻土㇒日⿰口匕
㗰	⿰口⿰彳⿱从⿺人⺊
㗱	⿰口⿱隹木
㗲	⿰口⿱⿱田一
㗳	⿰口⿱𥫗合
㗴	⿰口⿵門月
㗵	⿰口⿰⿱火火欠
㗶	⿰口⿱⿰⿰弓殳
㗷	⿰口⿳宀⿱⿻⿱一一⿰丨丨一贝
㗸	⿰口⿲彳缶⿱一丁
㗹	⿰口⿱隹心
㗺	⿰口⿱⿱一大非
㗻	⿰口⿺辶⿵⿱冂口
㗼	⿰口⿱⿱⿻⿰丨丨丷一⿱䒑⿻一木
㗽	⿱⿰乡⿰阝口
㗾	⿰口⿰革⿰亻⿻乚㇒
㗿	⿰口⿵門⿹丁口
㘀	⿰口⿱臼米
㘁	⿰口⿱罒⿱土⿱丷干
㘂	⿰口⿱⿱䒑⿰幺幺心
㘃	⿰口⿱⿱艹⿸⿻一丿口心
㘄	⿰口⿰木⿱罒方
㘅	⿰口⿲彳金⿱一丁
㘆	⿰口⿳⿱士口冖⿱⿱一厶土
㘇	⿰口⿱⿱⿰火火冖木
㘈	⿰口⿰⿱匕矢⿱⿱乛丶⿱乛⿺人⺊
㘉	⿰口⿱𥫗⿰卩
㘊	⿰口⿱雨言
㘋	⿰口⿱⿰⿷匚⿳丨丨又貝
㘌	⿰口⿰⿸虍豕刂
㘍	⿰口⿰⿱⿲㇒丨丶隹戈
㘎	⿰口⿵门⿰⿱乛耳攵
